Description;Vendor;Amount Paid;Type;Expense type (CF)
Bank fee for order 128 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT;A&M;7 440 945;Payroll 1;Payroll
Currency Exchange EUR/UZS;A&M; (233 205 000);Cashbook;
Rent Paid;OOO Invest Assets Plus;165 257 862;AP;Office rent 
Bank fee for order 133 in UZS;NBU OF UZBEKISTAN;826 289;Cashbook;
Bank fee for order 133 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 2 in RUB account in UZS;NBU OF UZBEKISTAN;1 753 836;Cashbook;
Bank fee for order 2 in RUB account in UZS SWIFT;NBU OF UZBEKISTAN;255 000;Cashbook;
Bank fee for order 2 in RUB account in UZS;NBU OF UZBEKISTAN;116 232;Cashbook;
Bank fee for order 2 in RUB account in UZS SWIFT;NBU OF UZBEKISTAN;255 000;Cashbook;
VAT;A&M;12 233 400;Cashbook;TAXES - VAT
Transfer from UZS account to Corp Card;A&M;8 000 000;Cashbook;
Bank fee for order 170 in UZS;NBU OF UZBEKISTAN;40 000;Cashbook;
Consultung services;CENTIL;27 320 000;AP;Legal & Tax consulting Fees
Consultung services;CENTIL;27 125 000;AP;Legal & Tax consulting Fees
Bank fee for order 167 in UZS;NBU OF UZBEKISTAN;136 600;Cashbook;
Bank fee for order 167 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 169 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 168 in UZS;NBU OF UZBEKISTAN;135 625;Cashbook;
Bank fee for order 168 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 171 in UZS;NBU OF UZBEKISTAN;2 500;Cashbook;
Bank fee for order 169 in UZS;NBU OF UZBEKISTAN;191 240;Cashbook;
Consultung services;CENTIL;38 248 000;AP;Legal & Tax consulting Fees
Delivery services;BTS Express Cargo Services;500 000;AP;All other
Bank fee for order 171 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 172 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Network hardware;COMPUTER COMPONENTS;9 825 600;AP;Fixed assets purchase
Bank fee for order 172 in UZS;NBU OF UZBEKISTAN;49 128;Cashbook;
Work permit_Sosnin;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for order 173 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Penalties_PIT;A&M;214 313;Cashbook;Payroll
Bank fee for order 9786131840  in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 176  in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses-hotels;Lango Trading LLC;24 471 613;AP;Travel&Transport
travel expenses_service fees;Lango Trading LLC;300 000;AP;Travel&Transport
