,Description,Vendor,Type,Expense type (CF),Category_ML
163,Bank fee for order 236 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
164,Bank fee for order 743758 in EUR account,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
165,Bank fee for order 239 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
166,Bank fee for order 237 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
167,Bank fee for order 238 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
168,Bank fee for order 240 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
169,Bank fee for order 242 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
170,Bank fee for order 241 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
171,Bank fee for order 244 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
172,Bank fee for order 243 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
173,Bank fee for order 245 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
174,Bank fee for order 246 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
175,Bank fee for order 248 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
176,Bank fee for order 247 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
177,Bank fee for order 251 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
178,Transfer from Transit account to Corp Card,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
179,Bank fee on foreign banks,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
180,Bank fee for a payment order 254 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
181,Bank fee for a payment order 253 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
182,Bank fee for a payment order 252 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
183,Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
184,Bank fee for a payment order 256 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
185,Bank fee for a payment order 257 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
186,Bank fee for a payment order 767876 in EUR ,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
187,Bank fee for a payment order 267 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
188,Bank fee for a payment order 263 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
189,Bank fee for a payment order 265 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
190,Bank fee for a payment order 266 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
191,Bank fee for a payment order 264 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
192,Bank fee for a payment order 268 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
193,Bank fee for a payment order 276 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
194,Bank fee for a payment order 9842085948 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
195,Bank fee for a payment order 282 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
196,Bank fee for a payment order 281 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
197,Bank fee for a payment order 283 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
198,Bank fee for a payment order 284 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
199,Bank fee for a payment order 286 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
200,Bank fee for a payment order 288 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
201,Bank fee for a payment order 287 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
202,Bank fee for a payment order 289 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
203,Bank fee for a payment order 290 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
204,Bank fee for a payment order 294 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
205,Bank fee for a payment order 291 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
206,Bank fee for a payment order 293 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
207,Bank fee for a payment order 297 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
208,Bank fee for a payment order 298 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
209,Bank fee for a payment order 299 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
210,Bank fee for a payment order 301 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
211,Bank fee for a payment order 300 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
212,Bank fee for a payment order 302 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
213,Bank fee for a payment order 304 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
214,Bank fee for a payment order 305 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
215,Bank fee for a payment order 306 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
216,Bank fee for a payment order 310 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
217,Bank fee for a payment order 311 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
218,Bank fee for a payment order 309 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
219,Bank fee for a payment order 312 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
220,Bank fee for a payment order 313 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
221,Bank fee for a payment order 314 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
222,Conferences- Other (Avajansky),dfs,AP,Business Development ,Business Development 
223,BD expense ,NAVOIY TINCH TEKSTIL LLC,AP,Business Development ,Business Development 
224,BD expense,CHECKPOINT TIME LLC,AP,Business Development ,Business Development 
225,BD expense,HANOK HOUSE LLC,AP,Business Development ,Business Development 
226,BD expense,FRENCH PASTRY LLC,AP,Business Development ,Business Development 
227,BD expense,BISTECCA LLC,AP,Business Development ,Business Development 
228,BD expense,SIROVARNYA SUPER LLC,AP,Business Development ,Business Development 
229,BD expense,BESHYOGOCH QAHVA LLC,AP,Business Development ,Business Development 
230,BD meal (Rakhmanov Abu Dhabi Uzbek investment),LLC Sakura City,AP,Business Development ,Business Development 
231,BD meal (Nefediev PWC),Kurant LLC,AP,Business Development ,Business Development 
232,Team meeting,ARROWS CORNER,AP,Business Development ,Business Development 
233,apartment rent (Samutichev),Najmiddinova Mekhrigul,AP,Business Development ,Business Development 
234,apartment rent (Chuykov),Zoirova Surayyo,AP,Business Development ,Business Development 
235,Entertainment Mohamed Al Lawati,ALLIANCE BAKERY,AP,Business Development ,Business Development 
236,Conferences- Other,CONGRESSES OF CENTRAL ASIA LLC,AP,Business Development ,Business Development 
237,Network hardware,COMPUTER COMPONENTS,AP,Fixed assets purchase,Business Development 
238,Prepayment for customs clearance,A&M,Cashbook,Fixed assets purchase,TAXES - VAT
239,Office supply (furniture),A&M CIS LLP (Moscow Branch),AP,Fixed assets purchase,Fixed assets purchase
240,customs broker services,Infinitive Vector,AP,Fixed assets purchase,Business Development 
241,Office supply (furniture),Improve LLC,AP,Fixed assets purchase,Fixed assets purchase
242,Office supply (furniture),Eurollo,AP,Fixed assets purchase,Fixed assets purchase
243,office furniture certification,Best Expert Result,AP,Fixed assets purchase,Business Development 
244,Consulting services,Best Expert Result,AP,Fixed assets purchase,Business Development 
245,certification services,Uzbek Center for Scientific Teasting and Quality Control,AP,Fixed assets purchase,Business Development 
246,Refund of payment,Best Expert Result,AP,Fixed assets purchase,Business Development 
247,Office supplies - corporate mobile phone,MEDIAPARK GROUP LLC,AP,Information Technology ,Information Technology 
248,Office supplies - printer,MEDIAPARK GROUP LLC,AP,Information Technology ,Information Technology 
249,network hardware,COMPUTER COMPONENTS,AP,Information Technology ,Business Development 
250,Legal services,CENTIL,AP,Legal & Tax consulting Fees,Business Development 
